"LOCATION ACCOUNT #","BUSINESS NAME","DBA NAME","STREET ADDRESS","CITY","ZIP CODE","LOCATION DESCRIPTION","MAILING ADDRESS","MAILING CITY","MAILING ZIP CODE","NAICS","PRIMARY NAICS DESCRIPTION","COUNCIL DISTRICT","LOCATION START DATE","LOCATION END DATE","LOCATION"
"0000003004-0001-9","SUPER A FOODS INC","SUPER A FOODS","2925 DIVISION STREET","LOS ANGELES","90065-1215","2925 DIVISION 90065-1215","7200 DOMINION CIRCLE","COMMERCE","90040-3647","445100","Grocery stores (including supermarkets & convenience stores without gas)","1","01/02/1972",,"POINT (-118.2356 34.1029)"
"0000003004-0003-5","SUPER A FOODS INC","SUPER A FOODS","5250 YORK BLVD","LOS ANGELES","90042-1744","5250 YORK 90042-1744","7200 DOMINION CIRCLE","COMMERCE","90040-3647","445100","Grocery stores (including supermarkets & convenience stores without gas)","14","07/29/1999",,"POINT (-118.2015 34.1204)"
"0000003718-0001-8","GLATT WESTERN KOSHER INC","GLATT WESTERN KOSHER","444 N FAIRFAX AVENUE","LOS ANGELES","90036-1717","444 FAIRFAX 90036-1717",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","5","02/17/1992",,"POINT (-118.3614 34.0792)"
"0000003718-0002-6","GLATT WESTERN KOSHER INC",,"4817 W PICO BLVD","LOS ANGELES","90019-4226","4817 PICO 90019-4226",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","10","03/01/2012",,"POINT (-118.3413 34.0482)"
"0000003971-0001-4","LA TROPICANA MARKET INC","LA TROPICANA MARKET","5200 MONTE VISTA STREET","LOS ANGELES","90042-4015","5200 MONTE VISTA 90042-4015",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","1","06/16/2003",,"POINT (-118.201 34.1084)"
"0000005583-0001-9","MARIA DE JESUS FERNANDEZ","EL MOLINO MEXICAN DELICATESSEN","1573 W ADAMS BLVD","LOS ANGELES","90007-1514","1573 ADAMS 90007-1514","24625 POLARIS DRIVE","MORENO VALLEY","92551-7487","445100","Grocery stores (including supermarkets & convenience stores without gas)","8","05/01/1974",,"POINT (-118.2964 34.0327)"
"0000005700-0001-2","JOSE F COTA GERALDO/ESPERANZA GERALDO","GERALDO'S MEAT MARKET INC","11201 WILMINGTON AVENUE","LOS ANGELES","90059-1245","11201 WILMINGTON 90059-1245",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","15","06/23/2003",,"POINT (-118.239 33.9334)"
"0000007205-0001-9","JOSE GARCIA","WENDY'S MARKET","3354 EAGLE ROCK BLVD","LOS ANGELES","90065-2843","3354 EAGLE ROCK 90065-2843",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","1","05/21/2003",,"POINT (-118.2362 34.1138)"
"0000007503-0001-4","DO YUN BOCK/BOK JA CHO","ANGELUS MINI MARKET","255 S HILL STREET #103","LOS ANGELES","90012-3511","255 HILL 90012-3511",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","14","04/01/1992",,"POINT (-118.2484 34.0523)"
"0000007875-0001-3","CARLOS & MARIBEL GONZALEZ","EL PRINCIPIO MARKET #2","2301 MAPLE AVENUE","LOS ANGELES","90011-1407","2301 MAPLE 90011-1407","2301 MAPLE AVENUE","LOS ANGELES","90011-1407","445100","Grocery stores (including supermarkets & convenience stores without gas)","9","04/20/1992",,"POINT (-118.2639 34.0258)"
"0000008096-0001-7","JOSE BENITEZ","EL RECREO MARKET","2501 W TEMPLE STREET","LOS ANGELES","90026-4819","2501 TEMPLE 90026-4819","2501 W TEMPLE STREET","LOS ANGELES","90026-4819","445100","Grocery stores (including supermarkets & convenience stores without gas)","13","05/27/2003",,"POINT (-118.2735 34.072)"
"0000008749-0001-0","VICTOR TORRES","KATE'S MINI MARKET","660 W FLORENCE AVENUE","LOS ANGELES","90044-6104","660 FLORENCE 90044-6104",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","8","06/13/2003",,"POINT (-118.2853 33.9746)"
"0000009348-0003-6","BRISTOL FARMS",,"8448 LINCOLN BLVD","LOS ANGELES","90045-2416","8448 LINCOLN 90045-2416","915 E 230TH STREET","CARSON","90745-5005","445100","Grocery stores (including supermarkets & convenience stores without gas)","11","01/01/2006",,"POINT (-118.4201 33.9609)"
"0000009348-0007-9","BRISTOL FARMS","LAZY ACRES NATURAL MARKET","1841 N WESTERN AVENUE","LOS ANGELES","90027-3403","1841 WESTERN 90027-3403","915 E 230TH STREET","CARSON","90745-5005","445100","Grocery stores (including supermarkets & convenience stores without gas)","13","03/23/2023",,"POINT (-118.3097 34.1046)"
"0000009348-0009-5","BRISTOL FARMS",,"6220 SELMA AVENUE","LOS ANGELES","90028-2006","6220 SELMA 90028-2006","915 E 230TH STREET","CARSON","90745-5005","445100","Grocery stores (including supermarkets & convenience stores without gas)","13","06/01/2025",,"POINT (-118.3245 34.0995)"
"0000010613-0001-1","EL POTRILLO MARKET INC","MASHIUR KHAN AND MOHAMMED M HOSSANE","4151 W 3RD STREET SUITE #D","LOS ANGELES","90020-3495","4151 3RD 90020-3495",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","10","02/25/2000",,
"0000014645-0001-1","SOK CHON HAM",,"1234 BELLEVUE AVENUE","LOS ANGELES","90026-5163","1234 BELLEVUE 90026-5163",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","1","07/01/1992",,"POINT (-118.2521 34.0678)"
"0000015513-0001-0","JH BAZAAR INC",,"2823 S VERMONT AVENUE #A","LOS ANGELES","90007-2230","2823 VERMONT 90007-2230",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","8","01/21/2003",,"POINT (-118.2915 34.0293)"
"0000017528-0001-1","JULIO FUENTES MENDOZA & ALICIA FUENTES","LA ALICIA MEAT MARKET","3114 E 4TH STREET","LOS ANGELES","90063-3103","3114 4TH 90063-3103","3114 E 4TH STREET","LOS ANGELES","90063-3103","445100","Grocery stores (including supermarkets & convenience stores without gas)","14","06/03/1992",,"POINT (-118.2007 34.0356)"
